,SLOWFAST,Buy and Hold,Strategy,SLOW,FAST
597,58-14,73.175,67.41499999999999,58,14
598,58-15,73.175,71.27875,58,15
599,58-16,73.175,73.24249999999999,58,16
600,58-17,73.175,72.78375,58,17
601,58-18,73.175,73.70625,58,18
602,58-19,73.175,70.77,58,19
603,58-2,73.175,54.838750000000005,58,2
604,58-20,73.175,72.42375,58,20
605,58-21,73.175,74.09625,58,21
606,58-22,73.175,73.00375,58,22
607,58-23,73.175,71.1725,58,23
608,58-24,73.175,71.20875,58,24
609,58-25,73.175,71.6725,58,25
610,58-26,73.175,68.9475,58,26
611,58-27,73.175,68.88125,58,27
612,58-28,73.175,71.4025,58,28
613,58-29,73.175,70.915,58,29
614,58-3,73.175,55.165,58,3
615,58-30,73.175,72.66,58,30
616,58-31,73.175,73.75375,58,31
617,58-32,73.175,71.91625,58,32
618,58-33,73.175,75.01625,58,33
619,58-34,73.175,80.45625,58,34
620,58-35,73.175,81.0875,58,35
621,58-36,73.175,81.51625,58,36
622,58-37,73.175,76.4075,58,37
623,58-38,73.175,77.01125,58,38
624,58-39,73.175,75.83125,58,39
625,58-4,73.175,60.08125,58,4
626,58-40,73.175,74.61125,58,40
627,58-41,73.175,74.2625,58,41
628,58-42,73.175,73.30125,58,42
629,58-43,73.175,71.99125,58,43
630,58-44,73.175,72.02374999999999,58,44
631,58-45,73.175,71.65625,58,45
632,58-46,73.175,71.45125,58,46
633,58-47,73.175,72.325,58,47
634,58-48,73.175,73.2675,58,48
635,58-49,73.175,74.1225,58,49
636,58-5,73.175,62.83375,58,5
637,58-50,73.175,73.56125,58,50
638,58-51,73.175,72.9825,58,51
639,58-52,73.175,73.30375,58,52
640,58-53,73.175,73.1275,58,53
641,58-54,73.175,72.29125,58,54
642,58-55,73.175,72.2825,58,55
643,58-56,73.175,71.78625,58,56
644,58-57,73.175,71.63,58,57
645,58-58,73.175,0.0,58,58
646,58-59,73.175,1.0137500000000004,58,59
647,58-6,73.175,61.9625,58,6
648,58-60,73.175,0.2862500000000002,58,60
649,58-61,73.175,0.23750000000000016,58,61
650,58-62,73.175,-0.011250000000000093,58,62
651,58-63,73.175,0.013750000000000262,58,63
652,58-64,73.175,-0.24499999999999977,58,64
653,58-65,73.175,-0.1362500000000001,58,65
654,58-66,73.175,0.14750000000000008,58,66
655,58-67,73.175,-0.04500000000000004,58,67
656,58-68,73.175,0.33125000000000016,58,68
657,58-69,73.175,0.5212500000000001,58,69
658,58-7,73.175,65.43375,58,7
659,58-70,73.175,0.6787500000000001,58,70
660,58-71,73.175,0.6,58,71
661,58-72,73.175,0.5375000000000002,58,72
662,58-73,73.175,0.5012500000000001,58,73
663,58-74,73.175,-0.3174999999999998,58,74
664,58-8,73.175,66.67625,58,8
665,58-9,73.175,66.355,58,9
666,59-1,73.175,55.46625,59,1
667,59-10,73.175,65.48,59,10
668,59-11,73.175,66.4325,59,11
669,59-12,73.175,67.60875,59,12
670,59-13,73.175,72.8975,59,13
671,59-14,73.175,65.84375,59,14
672,59-15,73.175,72.48125,59,15
673,59-16,73.175,72.1025,59,16
674,59-17,73.175,73.19,59,17
